,name,search_query,occupation,nationality,birth_year,wikipedia_birth_year,citation,Prompt1
691,Bill Pritchett,Bill Pritchett,public servant,australia australian,1921,1921,14,Bill Pritchett was a australia australian public servant. When was Bill Pritchett born.
692,William Oke Manning,William Oke Manning,aircraft designer,united kingdom,1879,1879,24,William Oke Manning was a united kingdom aircraft designer. When was William Oke Manning born.
693,Terence Donovan,Terence Donovan (photographer),photographer and film director,british,1936,1936,15,Terence Donovan was a british photographer and film director. When was Terence Donovan born.
694,Giulia Elettra Gorietti,Giulia Elettra Gorietti,actress,italian,1988,1988,5,Giulia Elettra Gorietti was a italian actress. When was Giulia Elettra Gorietti born.
695,Clyde William Tombaugh,Clyde Tombaugh,astronomer,american,1906,1906,53,Clyde William Tombaugh was a american astronomer. When was Clyde William Tombaugh born.
696,Alonzo Delano,Alonzo Delano,humorist,american,1806,1806,16,Alonzo Delano was a american humorist. When was Alonzo Delano born.
697,Mari Natsuki,Mari Natsuki,"singer , dancer , actress",japanese,1952,1952,8,"Mari Natsuki was a japanese singer , dancer , actress. When was Mari Natsuki born."
698,Jelle Zijlstra,Jelle Zijlstra,politician economist banker corporate director author professor,dutch,1918,1918,11,Jelle Zijlstra was a dutch politician economist banker corporate director author professor. When was Jelle Zijlstra born.
699,Evelyn Cusack,Evelyn Cusack,"meteorologist , presenter",irish,1964,1957,14,"Evelyn Cusack was a irish meteorologist , presenter. When was Evelyn Cusack born."
700,Burton Raffel,Burton Raffel,"writer , translator",american,1928,1928,13,"Burton Raffel was a american writer , translator. When was Burton Raffel born."
701,Aleksey Lyapunov,Alexey Lyapunov,mathematician,russia,1911,1911,0,Aleksey Lyapunov was a russia mathematician. When was Aleksey Lyapunov born.
702,Philip José Farmer,Philip José Farmer,"novelist , short story writer",american,1918,1918,39,"Philip José Farmer was a american novelist , short story writer. When was Philip José Farmer born."
703,0.2 Em Yu Youjun,Yu Youjun,politician,chinese,1953,1953,16,0.2 Em Yu Youjun was a chinese politician. When was 0.2 Em Yu Youjun born.
704,Karl Helfferich,Karl Helfferich,"lawyer , economist",german,1872,1872,9,"Karl Helfferich was a german lawyer , economist. When was Karl Helfferich born."
705,James Martin,James Martin (author),computer scientist,british,1933,1933,17,James Martin was a british computer scientist. When was James Martin born.
706,Roger Mcnamee,Roger Mcnamee,"businessman , venture capitalist , musician",united states,1956,1956,48,"Roger Mcnamee was a united states businessman , venture capitalist , musician. When was Roger Mcnamee born."
707,Tyler Allen,Tyler Allen (race Engineer),nascar race engineer,american,1987,1987,0,Tyler Allen was a american nascar race engineer. When was Tyler Allen born.
708,Konstantin Kozeyev,Konstantin Kozeyev,flight engineer,russian,1967,1967,2,Konstantin Kozeyev was a russian flight engineer. When was Konstantin Kozeyev born.
709,John Logie Baird,John Logie Baird,inventor businessman,scottish,1888,1888,67,John Logie Baird was a scottish inventor businessman. When was John Logie Baird born.
710,Charles Alexander Calvert,Charles Alexander Calvert,"actor , manager",british,1828,1828,3,"Charles Alexander Calvert was a british actor , manager. When was Charles Alexander Calvert born."
711,Lex Bell,Lex Bell,solicitor,australian,1945,1945,2,Lex Bell was a australian solicitor. When was Lex Bell born.
712,Chris Hayes,Chris Hayes (politician),industrial officer,australian,1955,1955,6,Chris Hayes was a australian industrial officer. When was Chris Hayes born.
713,Wolfgang Herz,Wolfgang Herz,member of maxingvest 's supervisory board,german,1950,1950,5,Wolfgang Herz was a german member of maxingvest 's supervisory board. When was Wolfgang Herz born.
714,Lucas Dolega,Lucas Dolega,photojournalist,french & german,1978,1978,17,Lucas Dolega was a french & german photojournalist. When was Lucas Dolega born.
715,Franc Palme,Franc Palme,ski jumper,slovenian,1914,1914,2,Franc Palme was a slovenian ski jumper. When was Franc Palme born.
716,Isabel Dos Santos,Isabel Dos Santos,investor,angola,1973,1973,0,Isabel Dos Santos was a angola investor. When was Isabel Dos Santos born.
717,Michael Watts,Michael Watts (journalist),journalist,british,1938,1938,22,Michael Watts was a british journalist. When was Michael Watts born.
718,Ian M. Morris,Ian Morris (historian),professor,american,1960,1960,26,Ian M. Morris was a american professor. When was Ian M. Morris born.
719,Arnulfo Duenes Trejo,Arnulfo Trejo,professor & writer,-lrb- mexican -rrb- american,1922,1922,14,Arnulfo Duenes Trejo was a -lrb- mexican -rrb- american professor & writer. When was Arnulfo Duenes Trejo born.
720,'' ` Srinivas Udgata '' ',Srinibash Udgata,writer,indian,1935,1935,5,'' ` Srinivas Udgata '' ' was a indian writer. When was '' ` Srinivas Udgata '' ' born.
721,Dave Crenshaw,Dave Crenshaw,"writer , speaker",american,1975,1975,46,"Dave Crenshaw was a american writer , speaker. When was Dave Crenshaw born."
722,Sinan Çetin,Sinan Çetin,"actor , film director , film producer , publisher",turkish,1953,1953,4,"Sinan Çetin was a turkish actor , film director , film producer , publisher. When was Sinan Çetin born."
723,Fritz Leiber,Fritz Leiber,writer,american,1910,1910,45,Fritz Leiber was a american writer. When was Fritz Leiber born.
724,James Fairbairn,James Fairbairn,"farmer , soldier",australian,1897,1897,28,"James Fairbairn was a australian farmer , soldier. When was James Fairbairn born."
725,Alan Schwarz,Alan Schwarz,journalist,american,1968,1968,47,Alan Schwarz was a american journalist. When was Alan Schwarz born.
726,Eddie Little Sky,Eddie Little Sky,actor,american,1926,1926,5,Eddie Little Sky was a american actor. When was Eddie Little Sky born.
727,Ma Gui -Lrb- 马贵 -Rrb-,Ma Gui (martial Artist),martial arts teacher lumber merchant,chinese,1851,1847,39,Ma Gui -Lrb- 马贵 -Rrb- was a chinese martial arts teacher lumber merchant. When was Ma Gui -Lrb- 马贵 -Rrb- born.
728,Anne Tolley,Anne Tolley,"hotelier , local government",new zealand,1953,1953,39,"Anne Tolley was a new zealand hotelier , local government. When was Anne Tolley born."
729,Anne Digby,Anne Digby,writer,british,1935,1943,12,Anne Digby was a british writer. When was Anne Digby born.
730,Emilio Serrano Jiménez,Emilio Serrano Jiménez,politician,mexican,1950,1950,1,Emilio Serrano Jiménez was a mexican politician. When was Emilio Serrano Jiménez born.
731,Debbie Allen,Debbie Allen,"actress television director , television producer , choreographer , dancer , film director ,",american,1950,1950,42,"Debbie Allen was a american actress television director , television producer , choreographer , dancer , film director ,. When was Debbie Allen born."
732,Blake Bailey,Blake Bailey,biographer,united states,1963,1963,29,Blake Bailey was a united states biographer. When was Blake Bailey born.
733,Joanna Parrish,Murder of Joanna Parrish,language student,british,1969,1969,25,Joanna Parrish was a british language student. When was Joanna Parrish born.
734,Xu Ningsheng,Xu Ningsheng,educator,chinese,1957,1957,5,Xu Ningsheng was a chinese educator. When was Xu Ningsheng born.
735,Kelsey Ramsden,Kelsey Ramsden,founder of sparkplay founder of kelseyramsden.com,canadian,1976,1976,18,Kelsey Ramsden was a canadian founder of sparkplay founder of kelseyramsden.com. When was Kelsey Ramsden born.
736,Carel Stolker,Carel Stolker,university president -lrb- leiden university -rrb-,dutch,1954,1954,4,Carel Stolker was a dutch university president -lrb- leiden university -rrb-. When was Carel Stolker born.
737,Arthur G. Cohen,Arthur G. Cohen,real estate developer,united states,1930,1930,56,Arthur G. Cohen was a united states real estate developer. When was Arthur G. Cohen born.
738,Margarita Robles De Mendoza,Margarita Robles de Mendoza,"writer , journalist , feminist , suffragette",mexican,1896,1896,27,"Margarita Robles De Mendoza was a mexican writer , journalist , feminist , suffragette. When was Margarita Robles De Mendoza born."
739,Heidi Victoria,Heidi Victoria,photographer,australian,1967,1967,10,Heidi Victoria was a australian photographer. When was Heidi Victoria born.
740,Masuda Takashi 益田 孝,Masuda Takashi,entrepreneur,japan,1848,1848,6,Masuda Takashi 益田 孝 was a japan entrepreneur. When was Masuda Takashi 益田 孝 born.
741,Phoebe Philo Obe,Phoebe Philo,fashion designer,british,1973,1973,33,Phoebe Philo Obe was a british fashion designer. When was Phoebe Philo Obe born.
742,Eva Ionesco,Eva Ionesco,"actress , director , screenwriter",french,1965,1965,15,"Eva Ionesco was a french actress , director , screenwriter. When was Eva Ionesco born."
743,Vladimir Linderman,Vladimir Linderman,"politician , publicist",non-citizen of latvia,1958,1958,24,"Vladimir Linderman was a non-citizen of latvia politician , publicist. When was Vladimir Linderman born."
744,Jakov Bienenfeld,Jakov Bienenfeld,businessman,croat,1948,1948,16,Jakov Bienenfeld was a croat businessman. When was Jakov Bienenfeld born.
745,Anna Silk,Anna Silk,actress,canadian,1974,1974,33,Anna Silk was a canadian actress. When was Anna Silk born.
746,Guido Monte,Guido Monte,"writer , poet",italian,1962,1962,15,"Guido Monte was a italian writer , poet. When was Guido Monte born."
747,Drummond Pike,Drummond Pike,"philanthropist , political activist",american,1948,1948,15,"Drummond Pike was a american philanthropist , political activist. When was Drummond Pike born."
748,Helen Thomas,Helen Thomas,"author , journalist , columnist",american,1920,1920,139,"Helen Thomas was a american author , journalist , columnist. When was Helen Thomas born."
749,Hossein Derakhshan,Hossein Derakhshan,journalist,iranian,1975,1975,87,Hossein Derakhshan was a iranian journalist. When was Hossein Derakhshan born.
750,Dwight Gustafson,Dwight Gustafson,musician,american,1930,1930,10,Dwight Gustafson was a american musician. When was Dwight Gustafson born.
751,Balša Božović,Balša Božović,lawyer,serb,1983,1983,0,Balša Božović was a serb lawyer. When was Balša Božović born.
752,Ivor Stanbrook,Ivor Stanbrook,politician barrister,uk british,1924,1924,1,Ivor Stanbrook was a uk british politician barrister. When was Ivor Stanbrook born.
753,Artur Azevedo,Artur Azevedo,"playwright story writer , journalist , poet , chronicler , short",brazil brazilian,1855,1855,0,"Artur Azevedo was a brazil brazilian playwright story writer , journalist , poet , chronicler , short. When was Artur Azevedo born."
754,James Boisfeuillet Frank,James Frank,banker and businessman,american,1966,1966,15,James Boisfeuillet Frank was a american banker and businessman. When was James Boisfeuillet Frank born.
755,Consuelo Camarena,Consuelo Camarena,politician,mexican,1943,1943,1,Consuelo Camarena was a mexican politician. When was Consuelo Camarena born.
756,Brandon Quinn,Brandon Quinn,actor,american,1977,1977,7,Brandon Quinn was a american actor. When was Brandon Quinn born.
757,Sacha Pitoëff,Sacha Pitoëff,actor,french,1920,1920,5,Sacha Pitoëff was a french actor. When was Sacha Pitoëff born.
758,Gajendra Thakur,Gajendra Thakur,writer historian educationist,indian,1971,1971,5,Gajendra Thakur was a indian writer historian educationist. When was Gajendra Thakur born.
759,Maciej Drygas,Maciej Drygas,filmmaker,polish,1956,1956,1,Maciej Drygas was a polish filmmaker. When was Maciej Drygas born.
760,Jéssica De La Peña,Jéssica de la Peña,"journalist , news presenter",colombian american,1977,1977,3,"Jéssica De La Peña was a colombian american journalist , news presenter. When was Jéssica De La Peña born."
761,Ethel L. Payne,Ethel L. Payne,journalist,american,1911,1911,37,Ethel L. Payne was a american journalist. When was Ethel L. Payne born.
762,Sherko Bekas,Sherko Bekas,"poet , painter , writer , philosopher",kurdish,1940,1940,3,"Sherko Bekas was a kurdish poet , painter , writer , philosopher. When was Sherko Bekas born."
763,Leonid Kravchuk Леонід Кравчук,Leonid Kravchuk,politician,ukrainian,1934,1934,71,Leonid Kravchuk Леонід Кравчук was a ukrainian politician. When was Leonid Kravchuk Леонід Кравчук born.
764,Merval Pereira,Merval Pereira,journalist,brazilian,1949,1949,8,Merval Pereira was a brazilian journalist. When was Merval Pereira born.
765,Herman Leonard,Herman Leonard,photographer,american,1923,1923,7,Herman Leonard was a american photographer. When was Herman Leonard born.
766,Robbie Nishida,Robbie Nishida,"professional , tokyo , japan drift car driver manager of car care center",american,1977,1977,45,"Robbie Nishida was a american professional , tokyo , japan drift car driver manager of car care center. When was Robbie Nishida born."
767,John Fall Allison,John Fall Allison,gold commissioner,canadian,1825,1825,15,John Fall Allison was a canadian gold commissioner. When was John Fall Allison born.
768,Robert J. Burch,Robert J. Burch,writer,american,1925,1925,8,Robert J. Burch was a american writer. When was Robert J. Burch born.
769,John Chanter,John Chanter,farmer,australian,1845,1845,11,John Chanter was a australian farmer. When was John Chanter born.
770,Ralph Moody,Ralph Moody (author),"writer , cowboy",united states,1898,1898,0,"Ralph Moody was a united states writer , cowboy. When was Ralph Moody born."
771,Dr Ashok Bhan,Ashok Bhan,retired police officer,india,1950,1950,17,Dr Ashok Bhan was a india retired police officer. When was Dr Ashok Bhan born.
772,George Abbott,George Abbott,"playwright , producer , director , screenwriter",american,1887,1887,45,"George Abbott was a american playwright , producer , director , screenwriter. When was George Abbott born."
773,R. D. Blumenfeld,R. D. Blumenfeld,journalist,american 1907 -rrb- -lrb- birth -rrb- ; british -lrb- naturalized in,1864,1864,16,R. D. Blumenfeld was a american 1907 -rrb- -lrb- birth -rrb- ; british -lrb- naturalized in journalist. When was R. D. Blumenfeld born.
774,Francis G. Neubeck,Francis G. Neubeck,test pilot,american,1932,1932,13,Francis G. Neubeck was a american test pilot. When was Francis G. Neubeck born.
775,Brendan V. Sullivan,Brendan Sullivan,lawyer,united states,1942,1942,17,Brendan V. Sullivan was a united states lawyer. When was Brendan V. Sullivan born.
776,Elizabeth Ann Scarborough,Elizabeth Ann Scarborough,writer,american,1947,1947,4,Elizabeth Ann Scarborough was a american writer. When was Elizabeth Ann Scarborough born.
777,Jacques Lanzmann,Jacques Lanzmann,"journalist , author , songwriter",french,1927,1927,21,"Jacques Lanzmann was a french journalist , author , songwriter. When was Jacques Lanzmann born."
778,Gail Porter,Gail Porter,"television actress presenter , television personality , former model ,",scottish,1971,1971,39,"Gail Porter was a scottish television actress presenter , television personality , former model ,. When was Gail Porter born."
779,Jonathan Croall,Jonathan Croall,journalist and author,british,1941,1941,1,Jonathan Croall was a british journalist and author. When was Jonathan Croall born.
780,Tino Petrelli,Tino Petrelli,photographer,italian,1922,1922,5,Tino Petrelli was a italian photographer. When was Tino Petrelli born.
781,Michele Greene,Michele Greene,"actress , singer , songwriter , author",american,1962,1962,13,"Michele Greene was a american actress , singer , songwriter , author. When was Michele Greene born."
782,Monica Mason,Monica Mason,ballet dancer and administrator,british,1941,1941,11,Monica Mason was a british ballet dancer and administrator. When was Monica Mason born.
783,Rajeev Suri,Rajeev Suri,ceo of nokia,indian,1967,1967,21,Rajeev Suri was a indian ceo of nokia. When was Rajeev Suri born.
784,Malcolm Baldrige,"Malcolm Baldrige, Jr.","foundryman , rodeo team roper , businessman",american,1922,1922,0,"Malcolm Baldrige was a american foundryman , rodeo team roper , businessman. When was Malcolm Baldrige born."
785,Marc Hodler,Marc Hodler,lawyer,swiss,1918,1918,6,Marc Hodler was a swiss lawyer. When was Marc Hodler born.
786,Philippe Joly,Philippe Joly,"actor , screenwriter , director , producer",french,1976,1976,31,"Philippe Joly was a french actor , screenwriter , director , producer. When was Philippe Joly born."
787,Rene Cayetano,Rene Cayetano,lawyer ; journalist ; television presenter ; politician,filipino,1934,1934,6,Rene Cayetano was a filipino lawyer ; journalist ; television presenter ; politician. When was Rene Cayetano born.
788,Miguel Lucero Palma,Miguel Lucero Palma,politician,mexican,1951,1951,1,Miguel Lucero Palma was a mexican politician. When was Miguel Lucero Palma born.
789,James S. Snyder,James S. Snyder,director and historian,american,1952,1952,18,James S. Snyder was a american director and historian. When was James S. Snyder born.
790,Nicolás Álvarez Martínez,Nicolás Álvarez Martínez,politician,mexican,1963,1963,1,Nicolás Álvarez Martínez was a mexican politician. When was Nicolás Álvarez Martínez born.
791,Valeska Saab Gómez,Valeska Saab,"politician , charity worker , model",ecuadorian,1984,1984,15,"Valeska Saab Gómez was a ecuadorian politician , charity worker , model. When was Valeska Saab Gómez born."
792,Mur Lafferty,Mur Lafferty,author,american,1973,1973,29,Mur Lafferty was a american author. When was Mur Lafferty born.
793,Ezzat Ebrahim-Nejad,Ezzat Ebrahim-Nejad,lawyer,iranian,1975,1975,6,Ezzat Ebrahim-Nejad was a iranian lawyer. When was Ezzat Ebrahim-Nejad born.
794,Alexander Raff,Alexander Raff,"curator , company director",scottish australian,1820,1820,14,"Alexander Raff was a scottish australian curator , company director. When was Alexander Raff born."
795,Greg Tegart,Greg Tegart,academic and public servant,australia australian,1929,1929,7,Greg Tegart was a australia australian academic and public servant. When was Greg Tegart born.
796,Peter Gleick,Peter Gleick,president and co-founder of pacific institute,american,1956,1956,97,Peter Gleick was a american president and co-founder of pacific institute. When was Peter Gleick born.
797,William S. Paley,William S. Paley,television executive,american,1901,1901,30,William S. Paley was a american television executive. When was William S. Paley born.
798,Joseph Finder,Joseph Finder,novelist,american,1958,1958,19,Joseph Finder was a american novelist. When was Joseph Finder born.
799,Robert Zelnick,Robert Zelnick,journalist author professor,american,1940,1940,10,Robert Zelnick was a american journalist author professor. When was Robert Zelnick born.
800,Manish Malhotra,Manish Malhotra,fashion designer,indian,1965,1966,13,Manish Malhotra was a indian fashion designer. When was Manish Malhotra born.
801,Peter Miles,Peter Miles (musician),musician,ugandan,1980,1980,9,Peter Miles was a ugandan musician. When was Peter Miles born.
802,François Lamy,François Lamy (politician),teacher,french,1959,1959,1,François Lamy was a french teacher. When was François Lamy born.
803,Kyan Kho,Kyan Khojandi,actor comedian,french,1982,1982,5,Kyan Kho was a french actor comedian. When was Kyan Kho born.
804,Narayanan Krishnan,Narayanan Krishnan,social worker / chef -lrb- past -rrb-,indian,1981,1981,11,Narayanan Krishnan was a indian social worker / chef -lrb- past -rrb-. When was Narayanan Krishnan born.
805,Albert Hinchcliffe,Albert Hinchcliffe,"printer , trade union organiser",english australian,1860,1860,11,"Albert Hinchcliffe was a english australian printer , trade union organiser. When was Albert Hinchcliffe born."
806,Savannah Dooley,Savannah Dooley,"screenwriter , television producer",american,1985,1985,11,"Savannah Dooley was a american screenwriter , television producer. When was Savannah Dooley born."
807,Weston Ochse,Weston Ochse,author,american,1965,1965,8,Weston Ochse was a american author. When was Weston Ochse born.
808,Pedro Juan Soto,Pedro Juan Soto,writer,puerto rican,1928,1928,17,Pedro Juan Soto was a puerto rican writer. When was Pedro Juan Soto born.
809,Michael Diamond Resnick,Mike Resnick,science fiction writer,american,1942,1942,113,Michael Diamond Resnick was a american science fiction writer. When was Michael Diamond Resnick born.
810,Miguel De Cervantes,Miguel de Cervantes,"soldier , novelist , poet , playwright , accountant","spanish unamuno , henry fielding , graham greene , voltaire , mark dostoyevsky twain , charles dickens , miguel de",1547,1547,105,"Miguel De Cervantes was a spanish unamuno , henry fielding , graham greene , voltaire , mark dostoyevsky twain , charles dickens , miguel de soldier , novelist , poet , playwright , accountant. When was Miguel De Cervantes born."
811,Father Thadeus Nguyễn Văn Lý,Thadeus Nguyễn Văn Lý,roman catholic priest and political dissident,vietnamese,1946,1946,16,Father Thadeus Nguyễn Văn Lý was a vietnamese roman catholic priest and political dissident. When was Father Thadeus Nguyễn Văn Lý born.
812,Troy Little,Troy Little,"writer , cartoonist",canada,1973,1973,25,"Troy Little was a canada writer , cartoonist. When was Troy Little born."
813,Eddie Jordan,Eddie Jordan,"businessman , commentator , analyst",irish,1948,1948,56,"Eddie Jordan was a irish businessman , commentator , analyst. When was Eddie Jordan born."
814,Ed Earl Repp,Ed Earl Repp,"screenwriter , short story writer , novelist",united states,1901,1901,0,"Ed Earl Repp was a united states screenwriter , short story writer , novelist. When was Ed Earl Repp born."
815,Joseph Yam,Joseph Yam,retired,hong kong chinese,1948,1948,39,Joseph Yam was a hong kong chinese retired. When was Joseph Yam born.
816,Kenneth Norman Jones,Kenneth Norman Jones,public servant,australia australian,1924,1924,11,Kenneth Norman Jones was a australia australian public servant. When was Kenneth Norman Jones born.
817,Edward Margolies,Edward Margolies,literary critic biographer,american,1925,1925,12,Edward Margolies was a american literary critic biographer. When was Edward Margolies born.
818,Jake Wood,Jake Wood,"actor , voice-actor",british,1972,1972,17,"Jake Wood was a british actor , voice-actor. When was Jake Wood born."
819,Ramón Calderón,Ramón Calderón,lawyer,spanish,1951,1951,0,Ramón Calderón was a spanish lawyer. When was Ramón Calderón born.
820,Mihael Montiljo,Mihael Montiljo,"lawyer , activist , politician",croat,1928,1928,11,"Mihael Montiljo was a croat lawyer , activist , politician. When was Mihael Montiljo born."
821,Nataniël Le Roux,Nataniël,"singer , entertainer",south africa,1963,1962,11,"Nataniël Le Roux was a south africa singer , entertainer. When was Nataniël Le Roux born."
822,Advent Bangun,Advent Bangun,pastor & christian activist former film actor & karateka,indonesian,1952,1952,1,Advent Bangun was a indonesian pastor & christian activist former film actor & karateka. When was Advent Bangun born.
823,Maurice Bidermann,Maurice Bidermann,businessman,france,1932,1932,4,Maurice Bidermann was a france businessman. When was Maurice Bidermann born.
824,Idan Ravin,Idan Ravin,"lawyer , trainer , and basketball coach",united states,1971,1970,16,"Idan Ravin was a united states lawyer , trainer , and basketball coach. When was Idan Ravin born."
825,Amy Childs,Amy Childs,"model , television personality , fashion designer , businesswoman",english,1990,1990,11,"Amy Childs was a english model , television personality , fashion designer , businesswoman. When was Amy Childs born."
826,Stephen Mcgrail,Stephen Mcgrail,attorney,american,1948,1948,3,Stephen Mcgrail was a american attorney. When was Stephen Mcgrail born.
827,Robi Domingo,Robi Domingo,"actor , model , vj , host",filipino,1989,1989,8,"Robi Domingo was a filipino actor , model , vj , host. When was Robi Domingo born."
828,Alvin Clarence Thomas,Titanic Thompson,"hustler , gambler , golfer",american,1893,1893,30,"Alvin Clarence Thomas was a american hustler , gambler , golfer. When was Alvin Clarence Thomas born."
829,Jon Olav Alstad,Jon Olav Alstad,farmer and advisor,norwegian,1968,1968,3,Jon Olav Alstad was a norwegian farmer and advisor. When was Jon Olav Alstad born.
830,James Hadley,James Hadley (politician),timber worker,australian,1893,1893,0,James Hadley was a australian timber worker. When was James Hadley born.
831,Ken Squier,Ken Squier,sportscaster,united states,1935,1935,19,Ken Squier was a united states sportscaster. When was Ken Squier born.
832,Aleksey Pisemsky,Aleksey Pisemsky,novelist • playwright,russian,1821,1821,98,Aleksey Pisemsky was a russian novelist • playwright. When was Aleksey Pisemsky born.
833,Anna Goldfeder,Anna Goldfeder,"medical researcher -lrb- cancer , radiology -rrb-",polish-american,1898,1898,11,"Anna Goldfeder was a polish-american medical researcher -lrb- cancer , radiology -rrb-. When was Anna Goldfeder born."
834,Daniel George Edward Hall,D. G. E. Hall,"historian , author and academic",british,1891,1891,1,"Daniel George Edward Hall was a british historian , author and academic. When was Daniel George Edward Hall born."
835,Matthew Fontaine Maury,Matthew Fontaine Maury,"oceanographer , naval officer , educator , author",american,1806,1806,53,"Matthew Fontaine Maury was a american oceanographer , naval officer , educator , author. When was Matthew Fontaine Maury born."
836,Sandor Szondi,Sandor Szondi,politician,belgium,1920,1920,0,Sandor Szondi was a belgium politician. When was Sandor Szondi born.
837,Thomas Murray-Prior,Thomas Lodge Murray-Prior,"farmer , grazier , public servant",english australian,1819,1819,16,"Thomas Murray-Prior was a english australian farmer , grazier , public servant. When was Thomas Murray-Prior born."
838,Philip Herbert Carpenter,Philip Herbert Carpenter,british naturalist and crinoid authority,british,1852,1852,8,Philip Herbert Carpenter was a british british naturalist and crinoid authority. When was Philip Herbert Carpenter born.
839,Luka Radovanović,Luka Radovanović,chaplain,ragusan,1425,1425,19,Luka Radovanović was a ragusan chaplain. When was Luka Radovanović born.
840,Rahul Bajaj,Rahul Bajaj,chairman of bajaj group,indian,1938,1938,25,Rahul Bajaj was a indian chairman of bajaj group. When was Rahul Bajaj born.
841,Isabelle Bogelot,Isabelle Bogelot,philanthropist,french,1838,1838,12,Isabelle Bogelot was a french philanthropist. When was Isabelle Bogelot born.
842,Ginevra King,Ginevra King,socialite,american,1898,1898,240,Ginevra King was a american socialite. When was Ginevra King born.
843,Mohammed Khalid Ibrahim,Mohammed Khalid,politician,bahraini,1964,1964,12,Mohammed Khalid Ibrahim was a bahraini politician. When was Mohammed Khalid Ibrahim born.
844,Etsuko Shihomi,Etsuko Shihomi,actress,japanese,1955,1955,3,Etsuko Shihomi was a japanese actress. When was Etsuko Shihomi born.
845,Stephen Moore,Stephen Moore (economist),economic analyst,american,1960,1960,0,Stephen Moore was a american economic analyst. When was Stephen Moore born.
846,Sali Butka,Sali Butka,guerilla fighter,albanian,1852,1857,20,Sali Butka was a albanian guerilla fighter. When was Sali Butka born.
847,Miron Babiak,Miron Babiak,ship captain,polish,1932,1932,4,Miron Babiak was a polish ship captain. When was Miron Babiak born.
848,Giulia Michelini,Giulia Michelini,actress,italian,1985,1985,2,Giulia Michelini was a italian actress. When was Giulia Michelini born.
849,Moyse Charas,Moyse Charas,apothecary,french,1619,1619,19,Moyse Charas was a french apothecary. When was Moyse Charas born.
850,Fernando Santamaría Prieto,Fernando Santamaría Prieto,politician,mexican,1952,1952,1,Fernando Santamaría Prieto was a mexican politician. When was Fernando Santamaría Prieto born.
851,E. L. T. Mesens,E. L. T. Mesens,"artist , writer",belgium,1903,1903,3,"E. L. T. Mesens was a belgium artist , writer. When was E. L. T. Mesens born."
852,Paul Hoornaert,Paul Hoornaert,"activist , lawyer",belgium,1888,1888,20,"Paul Hoornaert was a belgium activist , lawyer. When was Paul Hoornaert born."
853,Ethel C. C. Hatch,Ethel Hatch,"artist , painter",british,1869,1869,22,"Ethel C. C. Hatch was a british artist , painter. When was Ethel C. C. Hatch born."
854,Dr. Ángel Ramos,Ángel Ramos (educator),state superintendent,puerto rican june 2014/american,1949,1949,11,Dr. Ángel Ramos was a puerto rican june 2014/american state superintendent. When was Dr. Ángel Ramos born.
855,Randhir Kapoor,Randhir Kapoor,"actor , producer , director",indian,1947,1947,12,"Randhir Kapoor was a indian actor , producer , director. When was Randhir Kapoor born."
856,John Barnard,John Barnard (composer),part-time school teacher of german .,british uk,1948,1948,3,John Barnard was a british uk part-time school teacher of german .. When was John Barnard born.
857,Rohit Gore,Rohit Gore,writer,indian,1977,1977,12,Rohit Gore was a indian writer. When was Rohit Gore born.
858,Roger Ebert,Roger Ebert,"film , author critic , journalist , screenwriter , film historian",american,1942,1942,303,"Roger Ebert was a american film , author critic , journalist , screenwriter , film historian. When was Roger Ebert born."
859,Bipin Gupta,Bipin Gupta,actor,indian,1905,1905,1,Bipin Gupta was a indian actor. When was Bipin Gupta born.
860,Franco Lucentini,Franco Lucentini,"novelist , journalist , translator , editor",italian,1920,1920,1,"Franco Lucentini was a italian novelist , journalist , translator , editor. When was Franco Lucentini born."
861,Theodor Loos,Theodor Loos,actor,german,1883,1883,0,Theodor Loos was a german actor. When was Theodor Loos born.
862,John Green,John Green (judge),judge,american,1807,1807,0,John Green was a american judge. When was John Green born.
863,Hüseyin Çapkın,Hüseyin Çapkın,police chief,turkish,1951,1951,24,Hüseyin Çapkın was a turkish police chief. When was Hüseyin Çapkın born.
864,Philip Sherrard,Philip Sherrard,"author , translator , theologian",british,1922,1922,6,"Philip Sherrard was a british author , translator , theologian. When was Philip Sherrard born."
865,Masayuki Hirahara,Masayuki Hirahara,"pianist , composer",japanese,1980,1980,12,"Masayuki Hirahara was a japanese pianist , composer. When was Masayuki Hirahara born."
866,Frane Selak,Frane Selak,music teacher,croatian,1929,1929,0,Frane Selak was a croatian music teacher. When was Frane Selak born.
867,Alexander Belonogov,Alexander Belonogov,diplomat,russian,1931,1931,1,Alexander Belonogov was a russian diplomat. When was Alexander Belonogov born.
868,Onofre R. Pagsanghan,Onofre R. Pagsanghan,teacher,filipino,1927,1927,15,Onofre R. Pagsanghan was a filipino teacher. When was Onofre R. Pagsanghan born.
869,David Mcwilliams,David Mcwilliams (economist),"journalist , broadcaster , economist",irish,1966,1966,64,"David Mcwilliams was a irish journalist , broadcaster , economist. When was David Mcwilliams born."
870,Ambeth Ocampo,Ambeth Ocampo,"historian , journalist , professor , academic",filipino,1961,1961,74,"Ambeth Ocampo was a filipino historian , journalist , professor , academic. When was Ambeth Ocampo born."
871,Saul Friedländer,Saul Friedländer,"essayist , historian , professor of history at ucla",israeli,1932,1932,30,"Saul Friedländer was a israeli essayist , historian , professor of history at ucla. When was Saul Friedländer born."
